small,middle,large
0.000000131,0.0000012278,0.0000043541
0.0000001123,0.000001234,0.0000044645
0.0000001381,0.0000011479,0.0000047525
0.0000001532,0.000001269,0.0000044449
0.0000001346,0.0000012846,0.000004663
0.000000132,0.0000012839,0.0000049715
0.0000001507,0.0000013082,0.0000045348
0.0000001334,0.0000012732,0.0000049656
0.0000001272,0.000001343,0.0000052881
0.0000001678,0.0000013366,0.0000045849
0.0000001453,0.0000014293,0.00000541
0.0000001665,0.000001371,0.0000048241
0.0000001407,0.0000012534,0.0000050382
0.0000001976,0.000001341,0.0000052036
0.0000001698,0.0000013828,0.0000053372
0.0000001455,0.0000013147,0.0000044751
0.0000001347,0.0000014284,0.0000048851
0.0000001436,0.0000012535,0.0000046585
0.0000001765,0.0000012392,0.0000046061
0.0000001355,0.0000011862,0.0000045077
0.0000001375,0.0000012385,0.0000046856
0.0000001414,0.0000012314,0.0000047753
0.0000001594,0.0000018235,0.0000045425
0.0000001999,0.0000012561,0.0000044547
0.0000001588,0.0000013396,0.0000047636
0.0000001425,0.0000012771,0.0000051076
0.0000001497,0.0000012422,0.0000050113
0.000000131,0.0000012619,0.000004554
0.0000001185,0.0000012022,0.0000045583
0.0000001288,0.0000011706,0.000005148
0.0000001328,0.0000015749,0.0000048635
0.0000001309,0.0000013071,0.0000044959
0.0000001324,0.0000012736,0.0000046261
0.0000002139,0.0000012362,0.0000046534
0.0000001612,0.000001393,0.0000045217
0.0000001269,0.000001196,0.0000049188
0.0000001492,0.0000012216,0.0000046531
0.0000001442,0.0000014033,0.0000049809
0.0000001507,0.0000012837,0.0000047981
0.0000001517,0.000001346,0.000004767
0.000000147435,0.000001304655,0.0000047712225
