put,del,get
0.00000519,0.00000055,0.00000024
0.00000202,0.0000006,0.00000022
0.00000333,0.0000008,0.00000028
0.0000026,0.00000055,0.00000022
0.00000253,0.0000005,0.00000023
0.00000801,0.00000065,0.00000026
0.00000495,0.00000065,0.00000025
0.00000514,0.0000007,0.00000025
0.000004,0.0000006,0.00000024
0.00000664,0.00000075,0.00000068
0.00000478,0.00000055,0.0000004
0.00000667,0.0000006,0.00000025
0.00000566,0.0000008,0.00000025
0.00000425,0.00000065,0.00000025
0.00000579,0.00000065,0.00000022
0.00000397,0.0000007,0.00000022
0.00000696,0.0000014,0.00000038
0.00000487,0.0000006,0.00000024
0.00000402,0.00000055,0.00000025
0.00000506,0.00000455,0.00000029
0.00000373,0.0000006,0.00000019
0.00000431,0.0000007,0.00000024
0.00000586,0.0000006,0.00000025
0.00000513,0.0000006,0.00000023
0.00000445,0.00000055,0.00000022
0.00000455,0.0000007,0.00000024
0.00000576,0.0000005,0.00000028
0.00000715,0.0000016,0.00000042
0.00000562,0.0000008,0.00000023
0.00000508,0.0000005,0.00000026
0.00000773,0.00000075,0.00000025
0.00000583,0.0000007,0.00000044
0.00000468,0.0000007,0.00000022
0.00000439,0.00000115,0.00000025
0.00000428,0.0000005,0.00000025
0.00000445,0.0000008,0.00000024
0.00000522,0.0000008,0.00000024
0.00000533,0.0000008,0.00000025
0.00000442,0.0000008,0.00000023
0.00000474,0.00000075,0.00000023
0.00000535,0.00000075,0.00000022
0.00000453,0.0000008,0.00000023
0.00000479,0.00000065,0.00000023
0.00000463,0.00000065,0.00000026
0.00000468,0.0000008,0.00000023
0.00000433,0.0000006,0.00000021
0.00000387,0.0000006,0.00000024
0.00000416,0.00000045,0.00000027
0.00000455,0.00000065,0.00000025
0.0000047,0.0000007,0.00000023
0.00000488,0.00000065,0.00000024
0.0000041,0.0000007,0.00000023
0.00000503,0.0000007,0.00000023
0.00000515,0.0000007,0.00000025
0.00000546,0.0000007,0.00000024
0.00000401,0.000001,0.00000026
0.00000438,0.00000065,0.00000023
0.00000505,0.0000007,0.00000024
0.00000403,0.00000055,0.00000022
0.00000423,0.0000006,0.00000027
0.00000504,0.0000008,0.00000027
0.00000468,0.0000005,0.00000026
0.00000451,0.00000075,0.00000024
0.00000665,0.0000007,0.00000022
0.00000524,0.0000006,0.00000024
0.00000497,0.0000006,0.00000027
0.000004,0.00000065,0.00000022
0.00000555,0.00000065,0.00000027
0.00000408,0.00000065,0.00000027
0.00000418,0.00000075,0.00000019
0.00000458,0.00000075,0.00000023
0.00000458,0.00000055,0.00000022
0.00000416,0.0000006,0.00000023
0.0000041,0.0000005,0.00000036
0.00000534,0.00000085,0.00000024
0.00000413,0.00000055,0.00000024
0.00000512,0.000001,0.00000025
0.00000486,0.00000045,0.00000021
0.00000447,0.00000065,0.00000024
0.00000453,0.00000075,0.00000022
0.00000405,0.0000007,0.00000021
0.00000447,0.00000055,0.00000022
0.00000521,0.00000085,0.00000024
0.00000451,0.0000005,0.00000027
0.00000478,0.00000055,0.00000025
0.00000491,0.00000065,0.00000021
0.00000492,0.00000055,0.00000025
0.00000439,0.0000007,0.00000023
0.00000422,0.0000004,0.00000021
0.00000512,0.0000019,0.00000072
0.00000475,0.0000008,0.00000022
0.00000408,0.0000005,0.00000023
0.00000412,0.0000007,0.00000021
0.00000481,0.00000065,0.00000023
0.00000462,0.0000006,0.00000026
0.00000436,0.0000006,0.00000025
0.00000399,0.0000006,0.00000025
0.00000543,0.0000008,0.00000021
0.00000509,0.0000007,0.00000024
0.00000466,0.00000075,0.00000026
0.0000047832,0.0000007325,0.0000002562
