small,middle,large
0.0000001394,0.000172619,0.00114357
0.0000001248,0.000168311,0.00107005
0.0000001221,0.000162994,0.00106879
0.0000001241,0.000158486,0.00110982
0.0000001217,0.000170624,0.00109057
0.0000001297,0.000173095,0.00116552
0.0000001591,0.000191045,0.00131795
0.0000001355,0.000191099,0.00127021
0.0000002,0.000193663,0.00126574
0.0000002373,0.000196386,0.00116095
0.0000001615,0.0002005,0.0011822
0.000000177,0.000200513,0.00117171
0.0000001555,0.0001839,0.00121371
0.0000001611,0.00017994,0.00126311
0.0000001403,0.000178698,0.00124139
0.0000001481,0.000180552,0.00128892
0.0000001556,0.000184321,0.00128797
0.0000001408,0.00018067,0.00127519
0.0000001432,0.000186855,0.00129187
0.0000001403,0.000166549,0.00106688
0.0000001224,0.000166781,0.00110516
0.0000001356,0.000162903,0.00103249
0.0000001309,0.000179873,0.00105479
0.0000001285,0.000176089,0.00108485
0.0000001327,0.000167642,0.0010909
0.0000001384,0.000167449,0.00124043
0.0000001557,0.00016945,0.00107953
0.0000001495,0.00016413,0.00107712
0.0000001518,0.000172967,0.00100557
0.000000133,0.000163313,0.0010077
0.0000001346,0.000159979,0.00118313
0.0000001386,0.000184592,0.00103996
0.000000136,0.000161978,0.00106842
0.0000001968,0.000164629,0.00106316
0.0000002039,0.000164609,0.00102235
0.0000001321,0.000159959,0.00101755
0.0000001313,0.000169975,0.00120295
0.0000001491,0.000200401,0.00125402
0.0000001468,0.000181841,0.00119549
0.0000001497,0.000188042,0.00117112
0.0000001579,0.000215202,0.00115338
0.0000001401,0.000173988,0.00120368
0.0000001508,0.00018117,0.00113895
0.0000001416,0.000204975,0.00140561
0.0000001472,0.000194838,0.00123653
0.0000001947,0.000222169,0.00133696
0.000000148,0.000188687,0.00137252
0.0000001849,0.00019231,0.00136426
0.0000002179,0.000186533,0.00123608
0.0000002553,0.000192027,0.00132511
0.0000001456,0.000192384,0.00150999
0.000000145,0.00019923,0.00116242
0.0000001511,0.000180173,0.00119181
0.0000002327,0.000178701,0.00127632
0.0000001421,0.000187675,0.00118056
0.0000001453,0.000178035,0.00125504
0.0000001389,0.000179,0.0012506
0.0000001554,0.000176983,0.00113046
0.0000001436,0.000173866,0.00123869
0.000000238,0.000188884,0.00118275
0.000000143,0.000180661,0.00126439
0.0000001523,0.000172945,0.00131904
0.0000001624,0.000185978,0.00113509
0.0000001532,0.000173278,0.00133179
0.0000001456,0.000194582,0.00127107
0.0000001923,0.000222191,0.00125845
0.0000001785,0.000195365,0.00155948
0.0000001569,0.000196753,0.00151738
0.0000002656,0.000183844,0.00118205
0.0000002675,0.000194173,0.00133657
0.0000001413,0.000191888,0.00111299
0.0000001486,0.00020985,0.00113461
0.0000001531,0.000174146,0.00121883
0.0000001562,0.000206704,0.00118459
0.0000002104,0.000177532,0.00131079
0.0000001391,0.000180438,0.00127717
0.0000001573,0.00017864,0.0012019
0.0000001435,0.000182851,0.00121714
0.0000001383,0.000176224,0.00123724
0.0000001407,0.000175716,0.00135246
0.0000001464,0.000174263,0.00126472
0.0000001821,0.000190611,0.00120948
0.0000001432,0.000177328,0.00142358
0.0000002228,0.000184625,0.0010875
0.0000001344,0.000168895,0.00123038
0.0000001486,0.000197831,0.00121664
0.0000001908,0.000182512,0.00114389
0.0000001446,0.000174126,0.00123026
0.0000001512,0.000171894,0.00115709
0.0000001441,0.000173776,0.00116777
0.0000001687,0.000177848,0.0011254
0.0000001562,0.000173067,0.00108795
0.0000001796,0.000177782,0.00110654
0.0000001718,0.000195061,0.00110905
0.0000001334,0.000201613,0.00132754
0.0000001505,0.000183263,0.00116523
0.0000001476,0.000174406,0.001111
0.0000001385,0.000170654,0.00115995
0.000000135,0.000170443,0.00121546
0.0000002311,0.000177284,0.0014188
0.00000015857,0.00018185293,0.0012047579
