small,middle,large
0.0000001474,0.0000012591,0.0000048913
0.0000001294,0.0000015007,0.0000046247
0.0000001217,0.0000012243,0.0000046884
0.0000001235,0.0000012883,0.0000054293
0.0000001438,0.0000013555,0.0000054235
0.0000001352,0.0000014282,0.0000051116
0.0000001485,0.0000013463,0.0000048849
0.0000001781,0.0000013036,0.0000049085
0.000000284,0.0000013189,0.0000049159
0.0000001342,0.0000014521,0.0000046859
0.0000001981,0.0000012744,0.0000047295
0.000000157,0.0000013144,0.0000047313
0.0000001303,0.0000012708,0.0000069921
0.0000001653,0.0000016211,0.0000051092
0.0000001502,0.0000016651,0.000005047
0.000000137,0.0000013803,0.0000047342
0.0000001431,0.0000013012,0.0000049213
0.0000001376,0.0000013628,0.0000052233
0.0000002302,0.0000013475,0.0000049192
0.0000001377,0.00000128,0.0000050433
0.0000001349,0.0000013012,0.0000049082
0.0000002123,0.0000012907,0.0000048481
0.0000001711,0.0000013238,0.0000048667
0.0000001616,0.0000013111,0.0000050489
0.0000001282,0.0000013847,0.0000101899
0.0000002131,0.0000013129,0.0000048581
0.000000138,0.0000013062,0.0000050024
0.0000001594,0.0000012987,0.0000049218
0.0000001358,0.0000013121,0.0000051445
0.00000014,0.000001375,0.0000050544
0.0000001483,0.0000013895,0.0000053275
0.0000001916,0.0000013639,0.0000058601
0.0000001535,0.00000135,0.0000052151
0.0000001654,0.0000014532,0.000004806
0.0000001364,0.0000012964,0.0000048238
0.0000001412,0.0000013814,0.0000049296
0.0000001327,0.0000012821,0.0000048992
0.0000001351,0.0000013411,0.000004995
0.000000142,0.0000013429,0.000004886
0.0000001313,0.0000013684,0.0000047405
0.0000001352,0.0000014885,0.0000051079
0.0000001463,0.0000012867,0.0000050583
0.0000001374,0.0000014837,0.000004932
0.0000001427,0.000001352,0.000005427
0.0000001468,0.0000013903,0.0000047121
0.0000001289,0.0000013004,0.0000050543
0.0000001337,0.0000013156,0.0000047134
0.0000001432,0.0000013652,0.0000051954
0.0000001385,0.0000013943,0.0000051455
0.0000001632,0.0000013755,0.0000051201
0.0000001784,0.0000015515,0.0000066526
0.0000001553,0.000001374,0.0000050025
0.0000001426,0.0000014048,0.0000047146
0.0000002504,0.0000013015,0.000004802
0.0000001408,0.0000013957,0.0000052858
0.0000002106,0.000001575,0.000005272
0.0000001421,0.0000015394,0.0000048134
0.0000001794,0.0000013626,0.0000055768
0.0000001508,0.0000012668,0.0000054548
0.0000001462,0.000001356,0.0000049063
0.0000001687,0.0000012946,0.0000051016
0.0000001458,0.0000012944,0.0000051053
0.0000001512,0.0000013814,0.0000052178
0.0000001427,0.0000013235,0.0000050952
0.0000001341,0.0000013294,0.0000050045
0.0000001472,0.0000015116,0.0000053174
0.0000001439,0.0000013295,0.0000047881
0.0000001723,0.0000013348,0.0000048134
0.0000001323,0.0000016864,0.0000051874
0.0000001482,0.0000013229,0.0000056295
0.0000001768,0.0000015568,0.0000055892
0.0000001441,0.0000013491,0.0000047404
0.0000002026,0.0000014671,0.0000056458
0.0000001888,0.0000012457,0.0000053803
0.0000001565,0.000001312,0.0000045134
0.0000001356,0.0000012813,0.0000049996
0.0000001471,0.0000013322,0.0000061952
0.0000002558,0.0000013314,0.0000058369
0.000000156,0.0000014523,0.0000121168
0.0000002731,0.0000014822,0.0000052701
0.0000001467,0.0000015887,0.0000051737
0.0000001359,0.0000015307,0.0000046748
0.0000001304,0.0000013044,0.0000049228
0.0000001306,0.0000014002,0.0000049529
0.0000001529,0.0000015119,0.0000050343
0.000000146,0.0000013651,0.0000048852
0.0000001335,0.0000014614,0.0000050312
0.0000001471,0.0000013206,0.0000050159
0.00000016,0.0000014598,0.000005011
0.0000001791,0.0000012654,0.0000050129
0.0000001673,0.0000013059,0.0000052065
0.0000001463,0.0000014065,0.0000052723
0.0000001343,0.0000014363,0.0000048009
0.0000001385,0.0000013489,0.0000059364
0.0000001994,0.0000012942,0.0000049529
0.0000001896,0.000001262,0.0000053006
0.0000001491,0.0000013896,0.0000050385
0.0000001364,0.0000013314,0.0000049004
0.0000001458,0.0000012772,0.0000047298
0.0000001329,0.0000014545,0.000004991
1.54864356435644E-07,1.35933366336634E-06,5.16513762376238E-06
